age,time,area,marital_status,income,job_description,gender,commuting_means,commute_distance_km
51,morning,Agbowo,married,135000,civil servant,male,commercial bus,7.1
18,evening,Apata,single,0,unemployed,male,commercial bus,29.6
35,morning,Apata,single,139000,market trader,male,okada,17.9
34,evening,Agbowo,single,67000,artisan,male,private car,14.7
28,evening,Iwo Road,single,196000,business owner,male,tricycle,4.7
37,morning,Akinyele,married,92000,trader,female,commercial bus,21.3
23,morning,Moniya,married,50000,tailor,female,micra,30.5
42,evening,Dugbe,married,51000,teacher,male,okada,10.7
50,evening,Dugbe,married,44000,teacher,male,commercial bus,8.5
37,afternoon,Ring Road,married,412000,business owner,male,private car,3.1
29,afternoon,Moniya,married,120000,civil servant,female,private car,18.5
40,morning,Challenge,married,330000,business owner,female,private car,7.5
25,morning,Moniya,married,22000,shop attendant,male,okada,15.7
28,morning,Iwo Road,single,69000,sales representative,male,commercial bus,4.1
53,afternoon,Dugbe,married,197000,civil servant,female,private car,7.9
33,afternoon,Iwo Road,married,133000,trader,male,commercial bus,16.5
62,afternoon,Challenge,single,252000,business owner,male,private car,15.0
51,evening,Agbowo,married,123000,business owner,male,commercial bus,13.1
65,evening,Apata,married,43000,civil servant,male,tricycle,17.9
28,morning,Ring Road,married,50000,market trader,male,private car,9.9
31,afternoon,Apata,single,122000,civil servant,female,tricycle,5.2
28,afternoon,Apata,married,53000,mechanic,male,walking,2.2
42,morning,Mokola,married,194000,business owner,male,private car,12.2
42,afternoon,Moniya,married,366000,business owner,male,okada,15.8
43,evening,Challenge,married,355000,business owner,female,private car,15.1
26,morning,Bodija,married,57000,teacher,male,okada,2.4
19,evening,Bodija,single,0,unemployed,female,okada,10.3
26,morning,Akinyele,single,92000,driver,male,commercial bus,15.1
38,afternoon,Agbowo,married,97000,mechanic,male,tricycle,6.7
18,afternoon,Challenge,single,0,unemployed,female,micra,16.8
32,morning,Apata,married,98000,civil servant,female,commercial bus,22.4
20,evening,Agbowo,single,48000,shop attendant,female,tricycle,3.0
59,morning,Iwo Road,single,66000,trader,female,commercial bus,13.6
40,morning,Akinyele,married,53000,civil servant,female,commercial bus,17.4
40,evening,Apata,married,97000,civil servant,female,commercial bus,26.1
40,afternoon,Ring Road,married,390000,business owner,male,micra,3.4
36,morning,Akinyele,married,145000,market trader,female,micra,33.1
20,morning,Ring Road,single,26000,security guard,male,tricycle,5.0
37,night,Akinyele,married,405000,business owner,female,commercial bus,22.0
36,morning,Apata,married,57000,teacher,female,private car,33.9
32,evening,Bodija,single,141000,trader,female,commercial bus,3.3
35,afternoon,Dugbe,married,137000,market trader,male,micra,11.9
30,morning,Dugbe,single,201000,business owner,female,private car,6.0
53,morning,Dugbe,married,95000,business owner,male,commercial bus,12.6
40,evening,Mokola,married,74000,mechanic,male,commercial bus,2.9
34,morning,Mokola,married,48000,teacher,female,commercial bus,13.9
31,morning,Apata,single,319000,business owner,female,commercial bus,14.3
42,morning,Ring Road,married,364000,business owner,male,micra,14.9
35,afternoon,Agbowo,married,53000,civil servant,female,tricycle,5.5
27,evening,Agbowo,single,42000,teacher,female,commercial bus,10.3
21,evening,Ring Road,single,47000,shop attendant,male,tricycle,8.5
58,morning,Bodija,married,49000,civil servant,male,commercial bus,5.6
30,morning,Ring Road,single,25000,market trader,male,okada,3.4
38,afternoon,Dugbe,married,66000,artisan,male,commercial bus,6.4
27,morning,Moniya,single,375000,business owner,female,commercial bus,22.6
41,evening,Akinyele,married,108000,civil servant,female,tricycle,10.8
30,afternoon,Bodija,single,30000,mechanic,male,okada,1.9
18,morning,Dugbe,single,45000,shop attendant,female,okada,7.3
57,night,Iwo Road,married,96000,civil servant,female,micra,8.8
34,morning,Dugbe,married,451000,business owner,female,private car,9.8
25,evening,Apata,single,66000,artisan,male,commercial bus,29.0
38,morning,Akinyele,married,124000,civil servant,female,tricycle,3.6
46,night,Iwo Road,married,432000,business owner,male,private car,2.7
30,evening,Agbowo,single,52000,mechanic,male,commercial bus,11.7
47,evening,Moniya,married,51000,mechanic,male,tricycle,9.2
36,night,Ring Road,married,385000,business owner,female,private car,5.4
21,evening,Ring Road,single,0,unemployed,female,tricycle,8.8
30,afternoon,Akinyele,single,108000,business owner,male,commercial bus,17.2
23,afternoon,Apata,single,80000,sales representative,male,micra,11.4
52,morning,Bodija,married,102000,civil servant,male,micra,10.4
32,night,Bodija,single,65000,teacher,female,okada,8.5
40,afternoon,Apata,married,86000,teacher,male,tricycle,11.5
43,afternoon,Apata,married,65000,teacher,male,walking,1.8
32,morning,Mokola,married,94000,teacher,male,private car,7.5
42,evening,Mokola,married,84000,artisan,male,okada,8.9
28,morning,Dugbe,married,106000,trader,female,tricycle,5.8
20,morning,Bodija,married,0,unemployed,female,okada,8.6
49,morning,Mokola,married,67000,civil servant,male,okada,11.8
44,afternoon,Ring Road,married,112000,business owner,female,commercial bus,5.5
46,morning,Challenge,married,34000,market trader,female,commercial bus,3.7
36,afternoon,Ring Road,married,32000,mechanic,male,walking,1.8
61,night,Bodija,married,63000,civil servant,female,private car,3.6
43,morning,Agbowo,married,183000,business owner,female,private car,7.4
35,evening,Bodija,married,46000,mechanic,male,private car,11.5
34,night,Apata,single,192000,civil servant,female,private car,22.0
46,morning,Moniya,married,58000,mechanic,male,okada,12.1
18,afternoon,Mokola,married,43000,shop attendant,male,commercial bus,11.7
40,afternoon,Bodija,married,66000,mechanic,male,tricycle,8.6
45,morning,Mokola,married,328000,business owner,female,commercial bus,17.2
48,morning,Mokola,married,62000,artisan,male,tricycle,7.9
24,evening,Apata,married,45000,tailor,male,okada,11.3
48,morning,Ring Road,married,70000,teacher,female,private car,5.4
39,afternoon,Apata,married,53000,teacher,male,tricycle,13.7
26,evening,Apata,married,99000,teacher,male,tricycle,10.8
18,morning,Challenge,single,2000,student,male,micra,2.5
44,evening,Mokola,married,54000,teacher,female,private car,17.7
37,evening,Ring Road,single,34000,civil servant,male,private car,5.0
43,afternoon,Bodija,married,48000,mechanic,male,private car,17.3
47,morning,Akinyele,married,170000,civil servant,male,commercial bus,10.9
55,afternoon,Agbowo,married,71000,civil servant,male,tricycle,2.5
38,afternoon,Agbowo,married,119000,market trader,female,okada,11.0
59,morning,Mokola,married,20000,security guard,male,tricycle,1.4
52,evening,Mokola,married,118000,trader,female,tricycle,5.1
38,morning,Agbowo,married,393000,business owner,female,commercial bus,4.9
23,afternoon,Mokola,single,23000,tailor,male,tricycle,6.9
52,morning,Ring Road,married,84000,civil servant,male,commercial bus,9.3
29,evening,Iwo Road,single,170000,business owner,female,private car,17.0
24,evening,Akinyele,single,23000,shop attendant,male,commercial bus,22.8
18,morning,Challenge,single,47000,security guard,male,okada,4.5
18,night,Akinyele,married,0,unemployed,male,tricycle,12.9
32,morning,Ring Road,single,93000,teacher,female,micra,8.4
29,afternoon,Dugbe,married,72000,driver,male,tricycle,8.7
36,morning,Mokola,married,79000,teacher,female,private car,12.9
28,afternoon,Iwo Road,single,115000,trader,female,okada,8.5
50,morning,Moniya,married,291000,business owner,male,private car,20.4
25,afternoon,Dugbe,single,44000,shop attendant,female,commercial bus,2.7
32,afternoon,Apata,married,78000,mechanic,male,commercial bus,11.4
35,morning,Dugbe,married,58000,market trader,female,micra,4.0
42,morning,Challenge,married,29000,artisan,male,okada,6.0
45,morning,Dugbe,married,74000,trader,female,private car,8.0
51,morning,Moniya,married,443000,business owner,male,commercial bus,19.6
46,afternoon,Mokola,married,109000,civil servant,male,okada,4.9
18,morning,Iwo Road,single,19000,shop attendant,female,commercial bus,12.3
29,morning,Akinyele,single,101000,trader,female,okada,6.1
21,morning,Bodija,married,26000,student,male,commercial bus,16.8
49,morning,Iwo Road,married,148000,trader,female,okada,8.0
21,afternoon,Apata,single,11000,student,male,commercial bus,29.5
43,afternoon,Bodija,married,139000,business owner,female,private car,5.9
24,morning,Apata,single,0,unemployed,male,okada,3.3
23,evening,Agbowo,single,32000,shop attendant,female,commercial bus,8.3
35,morning,Agbowo,married,73000,artisan,male,tricycle,10.3
35,night,Moniya,married,82000,artisan,male,micra,22.7
46,afternoon,Challenge,married,183000,civil servant,male,commercial bus,14.4
33,morning,Dugbe,single,116000,business owner,female,private car,2.0
40,afternoon,Agbowo,married,322000,business owner,female,private car,15.6
18,evening,Agbowo,single,28000,shop attendant,male,commercial bus,7.6
29,evening,Bodija,married,123000,market trader,male,micra,15.4
41,evening,Bodija,married,64000,teacher,female,tricycle,8.9
63,evening,Ring Road,married,85000,civil servant,female,commercial bus,8.8
62,afternoon,Ring Road,married,140000,market trader,male,private car,14.6
44,evening,Ring Road,married,82000,civil servant,female,commercial bus,17.9
28,morning,Dugbe,married,37000,sales representative,male,commercial bus,9.3
68,afternoon,Akinyele,married,157000,civil servant,female,tricycle,9.8
27,afternoon,Dugbe,single,220000,business owner,male,commercial bus,4.9
56,morning,Ring Road,married,332000,business owner,female,private car,17.2
33,afternoon,Bodija,married,63000,teacher,male,commercial bus,17.3
39,afternoon,Moniya,married,150000,market trader,male,okada,10.4
25,afternoon,Iwo Road,married,31000,tailor,female,tricycle,5.1
25,morning,Akinyele,married,60000,tailor,female,okada,16.8
50,morning,Agbowo,married,498000,business owner,female,commercial bus,16.5
43,afternoon,Dugbe,married,42000,teacher,male,tricycle,1.0
20,afternoon,Apata,single,36000,shop attendant,female,commercial bus,28.6
29,morning,Mokola,single,135000,market trader,female,tricycle,6.4
22,afternoon,Apata,single,32000,security guard,male,commercial bus,34.1
34,afternoon,Iwo Road,single,38000,teacher,female,commercial bus,9.8
18,afternoon,Apata,single,9000,student,female,commercial bus,16.0
37,morning,Agbowo,married,86000,teacher,male,commercial bus,15.9
26,evening,Iwo Road,single,58000,driver,male,private car,9.3
28,evening,Mokola,married,495000,business owner,female,walking,1.5
21,morning,Mokola,single,0,unemployed,male,commercial bus,17.3
39,morning,Ring Road,married,39000,civil servant,female,tricycle,5.3
34,morning,Apata,married,44000,artisan,male,okada,13.9
18,evening,Iwo Road,single,4000,student,male,commercial bus,11.9
32,afternoon,Akinyele,married,31000,civil servant,female,micra,11.3
27,afternoon,Ring Road,married,479000,business owner,female,private car,14.6
34,afternoon,Apata,married,362000,business owner,female,commercial bus,12.1
34,morning,Bodija,single,76000,mechanic,male,walking,0.3
52,morning,Agbowo,single,61000,business owner,male,commercial bus,5.7
36,evening,Ring Road,married,72000,mechanic,male,okada,9.1
26,afternoon,Moniya,married,118000,trader,male,commercial bus,34.2
28,morning,Apata,married,114000,sales representative,male,commercial bus,25.4
48,morning,Mokola,married,53000,teacher,female,private car,8.7
20,morning,Dugbe,single,28000,shop attendant,female,micra,9.1
49,morning,Challenge,single,89000,trader,female,commercial bus,14.0
35,morning,Bodija,married,69000,artisan,male,commercial bus,3.9
44,evening,Moniya,married,68000,teacher,female,okada,11.2
21,evening,Agbowo,single,19000,student,male,commercial bus,10.0
44,morning,Akinyele,married,110000,trader,female,micra,11.6
28,morning,Ring Road,married,62000,teacher,male,private car,5.0
18,afternoon,Mokola,single,0,student,female,tricycle,10.1
26,afternoon,Iwo Road,married,36000,market trader,male,tricycle,8.3
31,morning,Iwo Road,married,114000,market trader,female,micra,13.2
32,morning,Dugbe,married,78000,mechanic,male,okada,4.8
25,afternoon,Ring Road,single,49000,artisan,male,tricycle,11.4
36,afternoon,Bodija,married,390000,business owner,female,private car,11.7
18,night,Iwo Road,single,13000,student,male,commercial bus,17.6
30,afternoon,Apata,married,81000,mechanic,male,okada,3.2
24,night,Ring Road,single,53000,artisan,male,tricycle,4.8
33,morning,Ring Road,single,33000,mechanic,male,micra,3.1
54,morning,Ring Road,single,191000,civil servant,male,okada,5.0
34,morning,Iwo Road,married,119000,civil servant,female,commercial bus,5.9
34,afternoon,Ring Road,single,69000,civil servant,male,commercial bus,9.2
36,afternoon,Moniya,married,369000,business owner,male,private car,21.2
30,morning,Apata,married,52000,mechanic,male,private car,27.6
23,evening,Dugbe,single,55000,sales representative,male,micra,11.9
28,afternoon,Mokola,single,118000,market trader,male,commercial bus,7.1
54,evening,Mokola,married,172000,civil servant,male,private car,6.7
37,morning,Dugbe,married,84000,civil servant,female,private car,14.1
25,evening,Dugbe,married,0,unemployed,female,walking,2.4
39,morning,Agbowo,married,378000,business owner,male,private car,11.6
